Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4201546,0.00029994381,-0.12320631,0.0012830232,0.0212749,0.0,0.0,1477.0
3000,1.4206038,0.00029990627,-0.10743248,0.070768885,0.025619017,10.0,10.0,582.0
4000,1.4204079,0.00029986879,-0.10225688,0.0004412296,0.0169822,0.0,0.0,1477.0
5000,1.419846,0.0002998313,-0.090913504,0.00019036302,0.019213809,1.1111111111111112,1.1111111111111112,1464.4444444444443
6000,1.419332,0.00029979378,-0.07301484,0.084761545,0.02748603,None,None,None
7000,1.419407,0.0002997563,-0.06805513,None,None,0.0,0.0,1477.0
8000,1.4203457,0.00029971878,-0.05513368,0.0003236694,0.025790613,1.1111111111111112,1.1111111111111112,1450.3333333333333
9000,1.4214376,0.0002996813,-0.0366858,0.080257036,0.024985384,0.0,0.0,1477.0
10000,1.421684,0.0002996438,-0.026733326,0.00027267184,0.023796568,0.0,0.0,1477.0
11000,1.4212348,0.0002996063,-0.021843122,0.00014061962,0.02409983,0.0,0.0,1477.0
12000,1.4204297,0.00029956878,-0.010224492,5.867598e-05,0.026584255,0.0,0.0,1477.0
13000,1.419699,0.00029953127,-0.010082929,4.9477985e-05,0.024096442,0.0,0.0,1477.0
14000,1.4186345,0.00029949378,-0.0083220005,None,None,0.0,0.0,1477.0
15000,1.4174854,0.0002994563,-0.006495288,4.7181522e-05,0.032007746,5.0,5.0,1145.5
16000,1.4168404,0.0002994188,0.00040577856,0.08152739,0.026990337,0.0,0.0,1477.0
17000,1.4172801,0.0002993813,0.006531948,0.00062534615,0.03107457,0.0,0.0,1477.0
18000,1.4178518,0.00029934375,0.0038293113,0.00010852509,0.027816385,0.0,0.0,1477.0
19000,1.4180638,0.00029930627,0.0043937853,3.7881648e-05,0.021542149,0.0,0.0,1477.0
20000,1.418194,0.00029926878,0.0047411853,2.8917611e-05,0.028391488,0.0,0.0,1477.0
21000,1.4177468,0.0002992313,0.003993452,None,None,0.0,0.0,1477.0
22000,1.4170134,0.0002991938,0.006087896,2.7129798e-05,0.024605958,0.0,0.0,1477.0
23000,1.4172828,0.0002991563,0.00496395,2.1106105e-05,0.023464855,0.0,0.0,1477.0
24000,1.4173267,0.00029911878,0.0059188,2.5380092e-05,0.01608579,0.0,0.0,1477.0
25000,1.4172198,0.00029908126,0.0063239485,3.037041e-05,0.021762189,0.0,0.0,1477.0
