Steps,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
8400,0.2126397,185.83333333333334,185.83333333333334,2.0
9100,None,None,None,None
9800,None,None,None,None
10500,None,None,None,None
11200,None,None,None,None
11900,None,None,None,None
12600,None,None,None,None
13300,None,None,None,None
14000,None,None,None,None
14700,None,None,None,None
15400,None,None,None,None
16100,None,None,None,None
16800,0.22895622,520.0,520.0,2.0
17500,None,None,None,None
18200,None,None,None,None
18900,None,None,None,None
19600,None,None,None,None
20300,None,None,None,None
21000,None,None,None,None
21700,None,None,None,None
22400,None,None,None,None
23100,None,None,None,None
23800,None,None,None,None
24500,None,None,None,None
25200,0.2304715,0.0,0.0,2.0
25900,None,None,None,None
26600,None,None,None,None
27300,None,None,None,None
28000,None,None,None,None
28700,None,None,None,None
29400,None,None,None,None
30100,None,None,None,None
30800,None,None,None,None
31500,None,None,None,None
32200,None,None,None,None
32900,None,None,None,None
33600,0.2358439,213.88888888888889,213.88888888888889,2.0
34300,None,None,None,None
35000,None,None,None,None
35700,None,None,None,None
36400,None,None,None,None
37100,None,None,None,None
37800,None,None,None,None
38500,None,None,None,None
39200,None,None,None,None
39900,None,None,None,None
40600,None,None,None,None
41300,None,None,None,None
42000,0.2216545,504.1666666666667,504.1666666666667,2.0
42700,None,None,None,None
43400,None,None,None,None
44100,None,None,None,None
44800,None,None,None,None
45500,None,None,None,None
46200,None,None,None,None
46900,None,None,None,None
47600,None,None,None,None
48300,None,None,None,None
49000,None,None,None,None
49700,None,None,None,None
50400,0.22562487,0.0,0.0,2.0
51100,None,None,None,None
51800,None,None,None,None
52500,None,None,None,None
53200,None,None,None,None
53900,None,None,None,None
54600,None,None,None,None
55300,None,None,None,None
56000,None,None,None,None
56700,None,None,None,None
57400,None,None,None,None
58100,None,None,None,None
58800,0.24858093,86.38888888888889,86.38888888888889,2.0
59500,None,None,None,None
60200,None,None,None,None
60900,None,None,None,None
61600,None,None,None,None
62300,None,None,None,None
63000,None,None,None,None
63700,None,None,None,None
64400,None,None,None,None
65100,None,None,None,None
65800,None,None,None,None
66500,None,None,None,None
67200,0.22111276,597.7777777777778,597.7777777777778,2.0
67900,None,None,None,None
68600,None,None,None,None
69300,None,None,None,None
70000,None,None,None,None
70700,None,None,None,None
71400,None,None,None,None
72100,None,None,None,None
72800,None,None,None,None
73500,None,None,None,None
74200,None,None,None,None
74900,None,None,None,None
75600,0.19984728,0.0,0.0,2.0
76300,None,None,None,None
77000,None,None,None,None
77700,None,None,None,None
78400,None,None,None,None
79100,None,None,None,None
79800,None,None,None,None
80500,None,None,None,None
81200,None,None,None,None
81900,None,None,None,None
82600,None,None,None,None
83300,None,None,None,None
84000,0.2587135,0.0,0.0,2.0
84700,None,None,None,None
85400,None,None,None,None
86100,None,None,None,None
86800,None,None,None,None
87500,None,None,None,None
88200,None,None,None,None
88900,None,None,None,None
89600,None,None,None,None
90300,None,None,None,None
91000,None,None,None,None
91700,None,None,None,None
